"(u'$60',)","(u'$19',)","(u'CKO Kickboxing',)","(u'Up to 69% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/cko-kickboxing-lodi-new-owner',)","([(u'Lodi', u'+19737777761')],)"
"(u'$30',)","(u'$18',)","(u'Kostal Paddle',)","(u'Up to 42% off Kayak or Paddle Boarding',)","(u'https://www.groupon.com/deals/kostal-paddle-4',)","([(u'Port Washington', u'+18555678251')],)"
"(u'$60',)","(u'$19',)","(u'CKO Lyndhurst',)","(u'Up to 69% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/cko-lyndhurst',)","([(u'Lyndhurst', u'+12014385425')],)"
"(u'$185',)","(u'$42',)","(u'World Federation Of Elite Martial Arts',)","(u'Up to 77% off Fitness or Kickboxing Classes',)","(u'https://www.groupon.com/deals/wfm-warrior-fitness-and-kickboxing',)","([],)"
"(u'$45',)","(u'$25',)","(u'Island Rock',)","(u'Up to 69% off Rock-Climbing Package',)","(u'https://www.groupon.com/deals/island-rock-new-york-1',)","([(u'Plainview', u'+15168227625')],)"
"(u'$60',)","(u'$29',)","(u'Rising Sun Academy',)","(u'Up to 59% off Unlimited Cardio Kickboxing',)","(u'https://www.groupon.com/deals/rising-sun-academy-1',)","([(u'North End', u'+12014404466')],)"
"(u'$124',)","(u'$39',)","(u'Urban Martial Arts',)","(u'Up to 69% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/urban-martial-arts-1',)","([(u'Ditmas Park', u'+17182875500')],)"
"(u'$170',)","(u'$39.99',)","(u'CKO Kickboxing Yonkers',)","(u'Up to 76% off Kickboxing Class Package',)","(u'https://www.groupon.com/deals/cko-kickboxing-yonkers',)","([(u'Colonial Heights', u'+19143376585')],)"
"(u'$109.32',)","(u'$69',)","(u'Tough Mudder Long Island and Tough Mudder Half Long Island',)","(u'Up to 37% off Tough Mudder Long Island',)","(u'https://www.groupon.com/deals/gl-tough-mudder-long-island-and-tough-mudder-half-long-island-at-old-bethpage-restoration-village',)","([(u'Old Bethpage Restoration Village', u'')],)"
"(u'$150',)","(u'$20',)","(u'JC H.I.I.T. Club',)","(u'Up to 90% off Boxing and Speed Bag Classes',)","(u'https://www.groupon.com/deals/jc-hiit-club-1',)","([],)"
"(u'$100',)","(u'$49',)","(u'Champs Boxing Club',)","(u'Up to 61% off Boxing Classes',)","(u'https://www.groupon.com/deals/champs-boxing-club',)","([(u'Downtown New Rochelle', u'+19173739220')],)"
"(u'$315',)","(u'$199',)","(u'Gateway Sports & Pools',)","(u'Up to 43% off Swimming Lessons',)","(u'https://www.groupon.com/deals/gateway-sports-club-1',)","([(u'South Ozone Park', u''), (u'Jamaica Estates', u''), (u'Richmond Hill', u''), (u'West Bronx', u''), (u'Hempstead', u''), (u'Midtown Manhattan', u''), (u'Mineola', u'')],)"
"(u'$135',)","(u'$30',)","(u'AmeriKick Martial Arts - Park Slope',)","(u'Up to 78% off Fitness Kickboxing Classes',)","(u'https://www.groupon.com/deals/amerikick-martial-arts-park-slope-1',)","([(u'Brooklyn', u'+17185677099'), (u'Brooklyn', u'+17187688200')],)"
"(u'$60',)","(u'$29.99',)","(u'CKO Kickboxing',)","(u'Up to 57% off Kickboxing Classes and Gloves',)","(u'https://www.groupon.com/deals/cko-kickboxing-11-40',)","([(u'Edison', u'+17326542769')],)"
"(u'$129',)","(u'$79',)","(u'Reebok Spartan Races',)","(u'Up to 39% off 2017 Reebok Spartan Race Events',)","(u'https://www.groupon.com/deals/gl-2017-reebok-spartan-race-tuxedo-ridge-ski-center-new-york',)","([(u'Tuxedo Ridge Ski Center', u'+18453511122')],)"
"(u'$150',)","(u'$19',)","(u'Knockout Fitness and Training',)","(u'Up to 87% off Boxing Classes Plus Consultation',)","(u'https://www.groupon.com/deals/eat-well-stay-fit-3',)","([(u'Downtown New Rochelle', u'')],)"
"(u'$100',)","(u'$39',)","(u'Renzo Gracie Astoria',)","(u'Up to 70% off Brazilian Jiu-Jitsu Classes',)","(u'https://www.groupon.com/deals/renzo-gracie-astoria',)","([(u'Astoria', u'+17187848000')],)"
"(u'$150',)","(u'$39',)","(u'Core Boxing',)","(u'Up to 80% off Boxing Classes',)","(u'https://www.groupon.com/deals/core-boxing',)","([(u'Howard Beach', u'+13478856380')],)"
"(u'$129',)","(u'$79',)","(u'Reebok Spartan Races',)","(u'Up to 39% off 2017 Reebok Spartan Races',)","(u'https://www.groupon.com/deals/gl-2017-reebok-spartan-race-tuxedo-ridge-ski-center-new-york-1',)","([(u'Tuxedo Ridge Ski Center', u'+18453511122')],)"
"(u'$180',)","(u'$29',)","(u'International Training Center',)","(u'Up to 84% off Unlimited Martial Arts Classes',)","(u'https://www.groupon.com/deals/international-training-center',)","([(u'Ditmars Steinway', u'+16468449777')],)"
"(u'$75',)","(u'$19',)","(u'JC Taekwondo and Kickboxing Academy',)","(u'Up to 75% off Martial Arts Classes',)","(u'https://www.groupon.com/deals/jc-kickboxing-academy-2-4',)","([(u'Historic Downtown', u'+12013331006')],)"
"(u'$129',)","(u'$79',)","(u'Reebok Spartan Races',)","(u'Up to 39% off 2017 Reebok Spartan Races',)","(u'https://www.groupon.com/deals/gl-2017-reebok-spartan-race-west-point-united-states-military-academy-new-york',)","([(u'West Point, United States Military Academy', u'')],)"
